Pour,Pas de danger car respect des normes (Industriels)
,Pas de danger av¨¦r¨¦ aupr¨¨s des scientifiques
,Pour une meilleure couverture r¨¦seau
,Principe d'innovation (loi 2015)
,
,
Contre,Principe de pr¨¦caution (loi 1999)
,"Exposition aux OEM en augmentation (5G ¨¤ venir, multiplication des capteurs et des appareils connect¨¦s)"
,Difficult¨¦ d¡¯¨¦tablir les v¨¦ritables effets des OEM car en g¨¦n¨¦ral m¨ºl¨¦e ¨¤ de nombreux autres facteurs ¨¤ risque pour la sant¨¦
,Risques pour la sant¨¦ : baisse de f¨¦condit¨¦ ; malformations ; radiofr¨¦quences
,Intol¨¦rances aux OEM / Remise en question de la capacit¨¦ du gouvernement ¨¤ prot¨¦ger
